geoid,cdc_physical,cdc_mental,geolabel,population,acs_income,acs_participation,acs_gini,acs_housing,acs_uninsured,acs_bachelors,acs_hs,acs_white,acs_foreign,acs_alone,acs_child,acs_vacancy,acs_commute60,census_response,area,density,epa_walk,cfb_votes,nypd_violent,nc_agriculture,pluto_church,pluto_cultural,pluto_outdoor,pluto_school,pluto_vacant
36005000200,13.1,13.1,"Census Tract 2, Bronx County, New York",4542,59914.0,50.84147666,0.4246,62.96958855,8.10215764,23.21311475,75.01639344,1.6952884190000002,34.14795244,22.43975904,39.53313253,10.63257066,26.25876354,61.6,14332069.498568214,0.0003169116644636526,10.666666666666668,488,105.33333333333333,2.0,12.0,3.0,4.0,2.0,53.0
36005000400,10.8,11.7,"Census Tract 4, Bronx County, New York",5634,82073.0,65.08850501,0.40399999999999997,48.93617021,5.715299965,29.51274931,87.83135572,3.7096201630000003,18.65459709,19.86754967,35.04839531,7.186761229,49.06507105,64.6,15731042.544648398,0.0003581453666538237,12.8,820,87.33333333333333,2.0,6.0,3.0,10.0,1.0,48.0
36005001600,15.8,14.6,"Census Tract 16, Bronx County, New York",5917,35802.0,53.87124837,0.5486,55.54194734,9.308043555,17.67895879,74.26789588,3.718100389,30.7926314,20.988900100000002,41.977800200000004,4.204929918,35.25581395,69.5,5221245.090323597,0.0011332545968711233,14.208333333333334,714,316.0,5.0,15.0,2.0,5.0,6.0,33.0
36005002300,22.6,20.0,"Census Tract 23, Bronx County, New York",4600,18032.0,45.2835408,0.4465,57.06156234,6.108695652000001,5.6445739260000005,60.63364894,0.02173913,19.34782609,41.95,32.75,0.447984072,34.30321593,70.3,1126378.798994854,0.004083883684693727,11.055555555555557,576,676.6666666666666,11.0,24.0,2.0,11.0,8.0,33.0
36005002500,18.1,17.9,"Census Tract 25, Bronx County, New York",5887,24530.0,59.35915168,0.5138,63.44271733,18.00577544,7.334428024,52.16201423,1.613725157,36.62306778,30.81664099,39.03441192,6.752873563,32.63110713,66.4,1372293.5394042325,0.004289898502732719,10.333333333333334,327,737.6666666666666,13.0,28.0,3.0,12.0,8.0,34.0
36005002701,20.9,19.9,"Census Tract 27.01, Bronx County, New York",2868,20599.0,54.45187854,0.4495,50.9,10.94839609,12.06666667,62.66666667,0.0,23.15202232,36.09802074,41.0933082,2.838827839,32.41525424,70.1,889527.331132662,0.003224184237653596,13.583333333333334,300,502.6666666666667,8.0,17.0,1.0,10.0,6.0,29.0
36005002702,20.0,20.1,"Census Tract 27.02, Bronx County, New York",4702,14375.0,47.447183100000004,0.5616,72.80118256,10.71884305,5.076551168,56.88960516,0.7656316459999999,22.75627393,28.23450135,46.29380054,1.3953488369999998,33.30935252,66.5,1673816.034862916,0.0028091498122044755,13.208333333333334,325,570.6666666666666,10.0,20.0,1.0,10.0,8.0,36.0
36005002800,11.8,12.0,"Census Tract 28, Bronx County, New York",5269,52479.0,57.39604635,0.3324,44.73684211,3.034959662,18.62348178,83.451417,1.024862403,13.38014804,36.16284106,25.81203984,5.485059353,37.17842324,73.1,4728131.814665605,0.0011143936350625299,10.566666666666666,1390,296.6666666666667,3.0,3.0,2.0,3.0,4.0,12.0
36005003100,13.4,14.9,"Census Tract 31, Bronx County, New York",1703,44583.0,71.26865672,0.3914,61.37339056,11.80270112,12.95746785,71.11770524,1.3505578390000001,38.63769818,28.30820771,36.68341709,2.450980392,27.42857143,67.0,1665192.0172307238,0.0010227048787035096,17.166666666666664,173,479.6666666666667,10.0,18.0,3.0,9.0,11.0,27.0
36005003300,20.6,20.0,"Census Tract 33, Bronx County, New York",3534,18511.0,42.53731343,0.5746,67.98378926,5.829088851,7.792207792,57.14285714,2.122241087,21.02433503,31.38564274,48.33055092,4.236610711,31.33333333,67.5,1640236.5565372263,0.002154567270138631,14.777777777777777,312,760.0,12.0,26.0,3.0,12.0,11.0,40.0
36005003500,17.1,17.3,"Census Tract 35, Bronx County, New York",3900,30490.0,61.09936575,0.4505,48.51916376,5.205128205,13.45470693,55.81705151,0.41025641,27.02564103,26.99149265,48.64655839,6.575144508999999,40.36827195,67.7,1528487.748235991,0.0025515415511187067,14.777777777777779,320,645.6666666666666,10.0,17.0,3.0,8.0,12.0,36.0
36005003800,13.8,15.0,"Census Tract 38, Bronx County, New York",1434,41438.0,59.72850679,0.5817,48.51851852,6.6945606689999995,7.165109033999999,76.84319834,0.0,17.015341699999997,20.92457421,43.55231144,6.590909091,27.38738739,63.3,682390.6068316019,0.002101435725585651,13.166666666666668,128,345.0,8.0,9.0,2.0,4.0,5.0,32.0
36005003900,18.7,18.3,"Census Tract 39, Bronx County, New York",6742,25903.0,65.92034872,0.5619,66.38842515,27.80175621,5.3093034580000005,52.16755967,4.924354791,36.63601305,37.51831949,39.17928676,11.0,33.67015518,63.4,2327230.1495940033,0.0028970061260061345,13.6,444,993.3333333333334,12.0,31.0,3.0,13.0,11.0,38.0
36005004001,14.9,13.2,"Census Tract 40.01, Bronx County, New York",1485,53846.0,53.46215781,0.4603,57.94871795,7.474747475,14.04494382,66.94756554,12.45791246,34.14141414,26.65289256,32.43801653,12.31884058,37.80918728,61.2,1325503.3336527834,0.0011203291325625566,11.833333333333332,180,389.6666666666667,0.0,18.0,2.0,4.0,5.0,34.0
36005004100,22.1,20.1,"Census Tract 41, Bronx County, New York",5517,18942.0,47.85714286,0.5494,54.8404543,10.34169393,7.110958434,59.15492958,1.576943991,28.91063984,33.80350195,40.61284047,7.967770815,22.31974922,67.9,1988426.280847424,0.0027745559657604076,10.666666666666668,562,1197.6666666666667,14.0,35.0,3.0,12.0,13.0,43.0
36005004200,17.2,15.9,"Census Tract 42, Bronx County, New York",7207,33016.0,46.78776291,0.4248,49.6592845,3.038712363,11.09616678,77.22483748,5.133897599999999,16.52560011,33.55263158,39.25438596,2.42510699,37.860082299999995,74.4,5202712.094694965,0.0013852390577884835,13.30952380952381,1021,376.3333333333333,8.0,13.0,1.0,1.0,6.0,24.0
36005004300,19.8,18.8,"Census Tract 43, Bronx County, New York",6088,24014.0,55.71939231,0.509,59.37992643,13.69908016,8.396533044,57.36728061,0.525624179,25.2956636,36.75982946,36.38086215,3.3867276889999998,25.97938144,63.4,2426077.062278768,0.0025094009150235554,13.166666666666668,527,1228.6666666666667,13.0,41.0,5.0,10.0,14.0,49.0
36005004400,22.7,19.6,"Census Tract 44, Bronx County, New York",4607,20884.0,42.96577947,0.491,52.87508262,6.09700816,11.71450737,58.41737781,4.05904059,16.17104406,30.22547227,39.60999391,3.527336861,35.88469185,75.4,2858621.6688610967,0.0016116158532568162,10.125,494,507.0,4.0,17.0,1.0,1.0,5.0,26.0
36005004600,17.6,16.0,"Census Tract 46, Bronx County, New York",1817,32750.0,50.73637703,0.5048,59.3877551,6.824435883,18.77192982,72.28070175,5.503577325,22.78481013,37.53541076,37.53541076,0.563380282,41.98347107,69.3,1456756.0246504524,0.0012472919069862697,16.0,225,434.0,8.0,6.0,1.0,3.0,3.0,14.0
36005004800,17.0,17.6,"Census Tract 48, Bronx County, New York",4680,33644.0,66.97120709,0.4796,64.91365777,17.52136752,9.032943677,57.59829968,1.217948718,44.59401709,14.28571429,51.59914712,5.570469799,37.89308176,68.0,1623510.0005004471,0.002882643161149232,12.5,232,600.6666666666666,2.0,14.0,3.0,3.0,5.0,14.0
36005005001,19.2,19.0,"Census Tract 50.01, Bronx County, New York",4979,24619.0,55.591659899999996,0.5559,79.32654659,13.27575818,10.91537133,57.582038,0.8636272340000001,39.02390038,28.69009585,41.78913738,5.208964264,48.39901478,62.8,1053655.8814619193,0.00472545172252232,8.166666666666668,296,486.0,2.0,5.0,3.0,1.0,4.0,11.0
36005005002,18.8,18.7,"Census Tract 50.02, Bronx County, New York",5519,26534.0,59.83955879,0.4774,70.93967517,25.91049103,12.10230817,56.30068621,1.304584164,46.87443377,27.73917691,44.89577766,5.600403632999999,55.05673409,61.6,1226016.2389224742,0.004501571696024646,9.708333333333336,290,526.0,1.0,10.0,3.0,5.0,7.0,13.0
36005005100,21.7,20.4,"Census Tract 51, Bronx County, New York",5588,16844.0,48.24711939,0.4555,55.64874198,3.9549033639999998,7.34114744,59.93214065,0.0,22.81675018,22.61161786,48.24771964,2.799813346,20.17062767,76.8,5494333.189525767,0.0010170478941198535,16.055555555555554,580,1086.6666666666667,9.0,28.0,2.0,9.0,11.0,42.0
36005005200,16.8,16.4,"Census Tract 52, Bronx County, New York",2091,20833.0,54.27652733,0.6399,53.92535393,4.399808704,11.25925926,73.55555556,0.0,32.520325199999995,40.76738609,39.92805755,5.119453925,32.70440252,64.3,1966421.466911736,0.0010633529155293013,13.416666666666666,173,513.3333333333334,1.0,12.0,2.0,7.0,9.0,20.0
36005005300,21.3,21.6,"Census Tract 53, Bronx County, New York",4483,16210.0,47.49642346,0.4942,76.43944408,5.576622797000001,11.67048055,61.60183066,1.204550524,17.42136962,29.85543683,51.35135135,6.080283353,45.55160142,51.2,781399.5467570735,0.005737141797183182,10.916666666666668,400,488.6666666666667,3.0,12.0,2.0,12.0,7.0,17.0
36005005400,17.7,18.5,"Census Tract 54, Bronx County, New York",6003,34167.0,61.51157711,0.45,68.34733894,22.19443055,4.4033704810000005,53.03071487,1.4659337,43.89471931,29.18069585,40.79685746,9.863429438999999,42.32026144,55.2,2115247.0183879375,0.00283796641612807,12.166666666666666,378,569.3333333333334,2.0,15.0,3.0,6.0,7.0,17.0
36005005600,17.8,16.7,"Census Tract 56, Bronx County, New York",2384,22750.0,50.96256684,0.5091,74.33628319,10.36073826,11.80599872,67.07083599,1.048657718,41.8204698,33.48623853,36.46788991,13.577799800000003,43.47826087,63.2,1465900.4550123313,0.0016263041544522514,13.388888888888888,226,525.6666666666666,3.0,16.0,3.0,12.0,8.0,20.0
36005005902,17.0,15.0,"Census Tract 59.02, Bronx County, New York",2532,29800.0,55.2231486,0.5342,74.28198433,6.911532385,27.80996524,79.25840093,5.529225908,41.31121643,35.39823009,28.90855457,6.180811808,38.0239521,74.8,749549.3028591628,0.0033780299579249324,16.25,410,728.0,10.0,21.0,1.0,8.0,5.0,26.0
36005006000,15.5,15.1,"Census Tract 60, Bronx County, New York",1451,33828.0,55.94525235,0.5297,71.80232558,6.547208822000001,22.37136465,67.7852349,0.6202618879999999,44.24534804,20.25974026,39.74025974,8.983451537,22.24334601,71.7,3398642.8537841667,0.0004269351215837246,12.833333333333332,87,389.3333333333333,5.0,18.0,0.0,12.0,4.0,50.0
36005006100,12.8,10.6,"Census Tract 61, Bronx County, New York",3697,46554.0,54.6961326,0.3735,59.26993276,7.736002163999999,34.55362877,90.39820167,3.137679199,14.41709494,56.69622025,12.36584228,7.946735395,21.40691328,59.0,2608716.6782403938,0.0014171719109388546,10.666666666666666,1126,888.0,19.0,28.0,1.0,9.0,7.0,38.0
36005006200,20.0,18.7,"Census Tract 62, Bronx County, New York",7184,26184.0,55.75497464,0.4974,56.93396226,11.17761693,9.330893884,52.61369577,1.475501114,32.93429844,19.89839119,48.60287892,6.566455696,40.46345811,69.1,2076796.140375393,0.0034591743793887493,12.333333333333332,569,512.0,1.0,16.0,2.0,8.0,4.0,31.0
36005006400,17.1,16.2,"Census Tract 64, Bronx County, New York",3612,34604.0,51.67272727,0.5335,74.14364641,8.899362351,15.68708609,65.76986755,4.485049834,44.76744186,25.80403889,38.96783844,6.175438596,25.51097653,55.8,1811004.5921404648,0.0019944731314738965,10.499999999999998,313,561.3333333333334,1.0,22.0,2.0,9.0,4.0,40.0
36005006500,17.2,17.3,"Census Tract 65, Bronx County, New York",5312,23737.0,59.80617189,0.494,57.24517906,17.33810241,12.46348588,68.19214541,4.348644578,29.743975899999995,43.172484600000004,35.31827515,3.897385298,18.68818324,65.9,2818050.7471175385,0.0018849908950125947,13.125,407,1054.3333333333333,15.0,28.0,2.0,9.0,8.0,45.0
36005006700,19.7,19.2,"Census Tract 67, Bronx County, New York",7256,22662.0,51.2285927,0.7455,68.58536585,13.836824700000001,9.346246973,47.69975787,0.19294377100000001,35.30871003,23.24486301,44.30650685,3.907856849,25.22603978,70.3,2286544.531607778,0.003173347336864663,11.361111111111112,652,1111.0,20.0,35.0,2.0,11.0,10.0,51.0
36005006800,14.7,14.8,"Census Tract 68, Bronx County, New York",3294,52228.0,64.45074989999999,0.4216,66.76056338,14.99696418,16.91352126,73.4830387,2.18579235,38.19064967,23.32677165,42.42125984,4.69043152,28.42639594,57.7,1661632.0401009026,0.0019823883510334647,13.944444444444443,255,652.0,3.0,20.0,2.0,4.0,4.0,25.0
36005006900,15.5,16.5,"Census Tract 69, Bronx County, New York",8090,30089.0,57.12808137,0.5231,53.49811479,7.033374536,20.27841263,72.15873675,3.028430161,32.62051916,31.47133991,40.45271997,3.0442477880000003,25.79553148,69.6,2023348.940252535,0.003998321712610917,11.625,534,1016.3333333333334,25.0,34.0,4.0,11.0,10.0,53.0
36005007000,15.4,15.8,"Census Tract 70, Bronx County, New York",4584,39662.0,56.04091789,0.4414,68.8,10.39614795,12.10702341,62.64214047,2.465095986,47.97120419,22.4537037,38.42592593,7.954545455,51.13825652,58.2,2205399.754772476,0.002078534737332877,11.111111111111109,339,498.6666666666667,2.0,19.0,4.0,7.0,4.0,39.0
