OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Leng,Shape_Area
148855,"360810103001","360810103001","36","081","010300","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",17.804049199999998,0.000000000000000,17.804049199999998,13.067270000000001,"1471","691","616","489",0.412659645172433,0.446315487082715,347.642265558331587,317.850000000000023,9.000000000000000,6.000000000000000,20.000000000000000,17.000000000000000,14.833333333333336,1541.833793445349329,72051.953351840085816
148934,"360810947001","360810947001","36","081","094700","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",38.823116499999998,0.000000000000000,38.823116499999998,38.823116499999998,"836","339","281","546",0.425843854556406,0.676751790684149,104.416140831970537,123.379999999999995,16.000000000000000,6.000000000000000,15.000000000000000,20.000000000000000,15.333333333333332,1845.411751809115458,157115.895694963284768
149042,"360810105001","360810105001","36","081","010500","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",9.711029999999999,0.000000000000000,9.711029999999999,9.699180000000000,"1142","534","493","456",0.000000000000000,0.021031581110365,87.916523787898925,358.079999999999984,1.000000000000000,1.000000000000000,13.000000000000000,17.000000000000000,10.333333333333332,837.231851569021046,39299.691818957573560
149050,"360810107011","360810107011","36","081","010701","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",395.548043099999973,0.000000000000000,395.548043099999973,358.036099999999976,"0","0","0","167",0.454822359548801,0.587643985035891,48.020867076310914,792.600000000000023,13.000000000000000,7.000000000000000,9.000000000000000,14.000000000000000,11.000000000000000,8809.965188643176589,1600761.112784997560084
149200,"360811029001","360811029001","36","081","102900","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",87.638709899999995,0.000000000000000,87.638709899999995,87.638709899999995,"2587","950","950","792",0.694374048565039,0.560470226365238,170.437926540039143,341.990000000000009,12.000000000000000,15.000000000000000,18.000000000000000,17.000000000000000,16.166666666666668,2664.115125047596393,354668.916442217014264
149258,"360810981002","360810981002","36","081","098100","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",62.844448799999995,0.000000000000000,62.844448799999995,62.844448799999995,"1163","459","377","508",0.925380863304755,0.898223692976762,101.848932120795382,65.709999999999994,20.000000000000000,20.000000000000000,14.000000000000000,20.000000000000000,18.000000000000000,2254.737271634307035,254329.282204810413532
149652,"360610307003","360610307003","36","061","030700","3","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",7.663065200000000,0.000000000000000,7.663065200000000,7.663070000000000,"1985","910","872","963",0.470573230180067,0.217780207489116,222.741155849750555,462.689999999999998,3.000000000000000,7.000000000000000,20.000000000000000,16.000000000000000,13.666666666666668,716.881767338786858,31012.217288239298796
149765,"360050079002","360050079002","36","005","007900","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",5.683300000000000,0.000000000000000,5.683300000000000,5.683300000000000,"588","270","234","234",0.226153689147469,0.364566863467983,75.111290975313636,238.719999999999999,6.000000000000000,3.000000000000000,12.000000000000000,19.000000000000000,11.833333333333332,706.126582306512091,22999.606216457261326
149773,"360050421002","360050421002","36","005","042100","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",6.451039700000000,0.000000000000000,6.451039700000000,6.451040000000000,"817","377","377","383",0.559724410626993,0.572704211463978,396.934466238054597,174.349999999999994,12.000000000000000,10.000000000000000,20.000000000000000,19.000000000000000,16.666666666666668,791.895809536202933,26107.386619435033936
149774,"360050371002","360050371002","36","005","037100","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",16.544086300000000,0.000000000000000,16.544086300000000,16.544086300000000,"982","424","401","471",0.486769792612487,0.582497507913853,77.369035484298692,246.770000000000010,13.000000000000000,8.000000000000000,12.000000000000000,18.000000000000000,13.500000000000000,1366.437489273355823,66952.720098044825136
149775,"360050119002","360050119002","36","005","011900","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",10.261321700000000,0.000000000000000,10.261321700000000,10.261321700000000,"832","309","291","361",0.138835133360285,0.600504013448686,0.000000000000000,321.870000000000005,13.000000000000000,2.000000000000000,1.000000000000000,17.000000000000000,8.500000000000000,1123.716803495040040,41526.436878709246230
149776,"360050323002","360050323002","36","005","032300","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",11.776291799999999,0.000000000000000,11.776291799999999,11.776291799999999,"2163","1323","1206","995",0.627618687897350,0.059276935924537,36.249101775823867,296.389999999999986,1.000000000000000,13.000000000000000,8.000000000000000,18.000000000000000,11.000000000000000,1047.514151195675140,47657.781599282447132
149777,"360050255003","360050255003","36","005","025500","3","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",15.277204599999999,0.000000000000000,15.277204599999999,15.249120000000000,"1711","644","644","521",0.730039430379019,0.156993630060428,55.884569353741590,269.569999999999993,2.000000000000000,17.000000000000000,10.000000000000000,18.000000000000000,12.500000000000000,1399.278779507070567,61826.080357910715975
149778,"360050149001","360050149001","36","005","014900","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",17.397816799999998,0.000000000000000,17.397816799999998,17.397819999999999,"1217","552","529","540",0.539036801406836,0.456112101697251,36.786224809540471,409.040000000000020,9.000000000000000,9.000000000000000,8.000000000000000,16.000000000000000,11.000000000000000,1319.927960476348062,70408.241885704759625
149832,"360810997050","360810997050","36","081","099705","0","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",1121.571085600000060,1121.571085600000060,0.000000000000000,0.000000000000000,"0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,-99999.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,14.000000000000000,5.333333333333334,14317.427321200162623,4538935.048868294805288
149835,"360811017007","360811017007","36","081","101700","7","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",31.366132699999994,0.000000000000000,31.366132699999994,31.366132699999994,"1070","514","477","511",0.569301551324496,0.187653319141120,115.671257107191948,390.269999999999982,3.000000000000000,10.000000000000000,15.000000000000000,17.000000000000000,12.833333333333334,1716.138015259040912,126936.513212273552199
149854,"360050216021","360050216021","36","005","021602","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",6.100899000000000,0.000000000000000,6.100899000000000,6.100899000000000,"335","126","100","102",0.458084261710742,0.519292121585626,279.880063577515330,223.969999999999999,11.000000000000000,7.000000000000000,20.000000000000000,19.000000000000000,16.000000000000000,1006.271491105134828,24690.588383893191349
149860,"360050232002","360050232002","36","005","023200","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",14.773120599999999,0.000000000000000,14.773120599999999,14.773120599999999,"1492","447","411","531",0.572305196203414,0.351067615834997,115.539569886134956,0.000000000000000,6.000000000000000,11.000000000000000,15.000000000000000,20.000000000000000,14.500000000000000,984.006257972843514,59785.576019832798920
149861,"360050248003","360050248003","36","005","024800","3","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",20.847579899999999,0.000000000000000,20.847579899999999,20.847579899999999,"934","412","347","373",0.706809031554890,0.389116283131600,112.573258443297775,423.790000000000020,7.000000000000000,16.000000000000000,15.000000000000000,16.000000000000000,14.166666666666664,1444.013676932374892,84367.783095202277764
149862,"360050039004","360050039004","36","005","003900","4","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",6.598064200000000,0.000000000000000,6.598064200000000,6.598064200000000,"913","377","327","365",0.423927407199933,0.165652650736149,0.000000000000000,340.639999999999986,2.000000000000000,6.000000000000000,1.000000000000000,17.000000000000000,7.333333333333334,828.863117618638285,26701.514052287584491
149863,"360050361001","360050361001","36","005","036100","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",8.530386200000002,0.000000000000000,8.530386200000002,8.530386200000002,"828","425","347","461",0.252626154179465,0.468137938072393,50.042282962522847,170.319999999999993,9.000000000000000,3.000000000000000,9.000000000000000,19.000000000000000,11.333333333333332,779.598022701971558,34521.324316104401078
149864,"360050067002","360050067002","36","005","006700","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",14.755823599999999,0.000000000000000,14.755823599999999,14.755823599999999,"2091","620","620","386",0.397753855377487,0.554790096257446,86.745412163913372,221.280000000000001,12.000000000000000,6.000000000000000,13.000000000000000,19.000000000000000,13.666666666666666,1213.070633789775911,59715.617230053481762
149865,"360050044001","360050044001","36","005","004400","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",15.656750199999999,0.000000000000000,15.656750199999999,15.656750199999999,"1129","445","425","498",0.000000000000000,0.467650964161627,0.000000000000000,136.789999999999992,9.000000000000000,1.000000000000000,1.000000000000000,20.000000000000000,8.666666666666668,997.370896385469450,63362.697967260202859
149866,"360050173001","360050173001","36","005","017300","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",12.078742199999999,0.000000000000000,12.078742199999999,12.078742199999999,"1122","363","337","431",0.348175145037217,0.501941713012404,141.365712731247811,272.250000000000000,10.000000000000000,5.000000000000000,17.000000000000000,18.000000000000000,14.166666666666668,1071.392055974654340,48881.435460577893537
149867,"360050266021","360050266021","36","005","026602","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",18.179394100000000,0.000000000000000,18.179394100000000,18.179394100000000,"1684","1029","917","671",0.409570149985570,0.405225362366529,199.540203597874552,274.930000000000007,7.000000000000000,6.000000000000000,19.000000000000000,18.000000000000000,14.500000000000000,1157.742092358351329,73570.884346659484436
149868,"360050392001","360050392001","36","005","039200","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",10.074266999999997,0.000000000000000,10.074266999999997,10.074266999999997,"1083","433","422","450",0.524207887965055,0.105371716905400,0.000000000000000,496.209999999999980,1.000000000000000,9.000000000000000,1.000000000000000,16.000000000000000,7.333333333333334,832.325349215241431,40769.613457802297489
149869,"360050144002","360050144002","36","005","014400","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",16.913006599999999,0.000000000000000,16.913006599999999,16.913006599999999,"1010","473","473","348",0.000000000000000,0.388544782958669,37.840699476815672,238.719999999999999,7.000000000000000,1.000000000000000,8.000000000000000,19.000000000000000,10.333333333333332,1168.894882993963620,68445.695194845946389
149870,"360050130001","360050130001","36","005","013000","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",28.699182399999994,0.000000000000000,28.699182399999994,28.699182399999994,"1498","482","463","524",0.541476001903430,0.474372998064146,230.473464637793995,388.920000000000016,9.000000000000000,10.000000000000000,20.000000000000000,17.000000000000000,15.500000000000000,1965.875965446556620,116142.561733311522403
149871,"360050269001","360050269001","36","005","026900","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",82.621097299999988,6.699128100000000,75.921969200000007,75.921970000000002,"1124","594","522","522",0.510142449336613,0.802534450586056,44.980919699327302,320.529999999999973,19.000000000000000,8.000000000000000,9.000000000000000,17.000000000000000,13.166666666666668,3375.514015729311268,334363.148894161218777
149872,"360050201002","360050201002","36","005","020100","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",7.897563100000000,0.000000000000000,7.897563100000000,7.897563100000000,"1400","415","415","503",0.713372008357012,0.486436093693631,243.194004996300691,168.979999999999990,10.000000000000000,16.000000000000000,20.000000000000000,19.000000000000000,17.333333333333332,1111.042883629692824,31961.076318380521116
149873,"360050241001","360050241001","36","005","024100","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",7.501214700000000,0.000000000000000,7.501214700000000,7.501214700000000,"1275","373","308","572",0.701700737670872,0.459220300217295,85.319514984686421,0.000000000000000,9.000000000000000,16.000000000000000,13.000000000000000,20.000000000000000,15.166666666666668,742.924884390425291,30356.846650301304180
149874,"360050020003","360050020003","36","005","002000","3","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",28.986065499999999,0.000000000000000,28.986065499999999,28.986070000000002,"2748","897","897","808",0.241346485059682,0.500235898716221,29.454152720382144,447.930000000000007,10.000000000000000,3.000000000000000,7.000000000000000,16.000000000000000,9.833333333333332,1618.964908403844674,117305.370517475050292
149875,"360050385004","360050385004","36","005","038500","4","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",15.192202199999999,0.000000000000000,15.192202199999999,15.192202199999999,"1842","804","768","545",0.757113730365241,0.210797328043312,140.451000579757959,284.319999999999993,3.000000000000000,18.000000000000000,17.000000000000000,18.000000000000000,15.166666666666668,1136.969126852709451,61482.710127159487456
149888,"360050086002","360050086002","36","005","008600","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",14.849474499999999,0.000000000000000,14.849474499999999,14.849474499999999,"2093","649","649","603",0.000000000000000,0.016593662482831,100.593458711283020,236.039999999999992,1.000000000000000,1.000000000000000,14.000000000000000,19.000000000000000,11.333333333333332,993.733679331897633,60094.610487369514885
150059,"360810997042","360810997042","36","081","099704","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",34.844559400000001,0.000000000000000,34.844559400000001,34.844559400000001,"1736","808","808","647",0.364086189807115,0.466743924917109,61.254899954338349,134.110000000000014,9.000000000000000,5.000000000000000,11.000000000000000,20.000000000000000,12.666666666666668,1682.457944056309771,141014.163502367067849
150126,"360610269003","360610269003","36","061","026900","3","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",8.295641200000000,0.000000000000000,8.295641200000000,8.292610000000000,"979","229","229","313",0.813533028535898,0.683627157024942,231.523995999248370,0.000000000000000,16.000000000000000,19.000000000000000,20.000000000000000,20.000000000000000,19.166666666666668,760.215097268049590,33570.733692047928344
150132,"360610277004","360610277004","36","061","027700","4","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",4.282490100000002,0.000000000000000,4.282490100000002,4.282490000000000,"988","398","398","539",0.573098175222326,0.183745660638247,348.806410550721409,99.239999999999995,3.000000000000000,11.000000000000000,20.000000000000000,20.000000000000000,15.666666666666668,505.202248246511886,17331.320530942535697
150134,"360610287002","360610287002","36","061","028700","2","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",7.497014000000000,0.000000000000000,7.497014000000000,7.497010000000000,"1578","641","575","801",0.440768596284436,0.160117784779746,56.940003046546266,0.000000000000000,2.000000000000000,6.000000000000000,10.000000000000000,20.000000000000000,11.333333333333334,737.386740547418981,30339.426451623683533
150135,"360610291001","360610291001","36","061","029100","1","408","New York-Newark, NY-NJ-CT-PA","35620","New York-Newark-Jersey City, NY-NJ-PA",5.194289100000000,0.000000000000000,5.194289100000000,5.194289100000000,"1672","678","655","781",0.449074346644220,0.106916634477948,0.000000000000000,360.759999999999991,2.000000000000000,7.000000000000000,1.000000000000000,17.000000000000000,7.500000000000000,590.839899235351936,21020.526339919484599
