name,type,source,address,grow,lat,lon
Battery Farm ,Non-commercial Farm,Stern,"State St & Battery Pl, New York, NY 10004, USA",Outdoor,40.7045129,-74.01427819999999
Bowery Farming,Commercial Farm,Stern,"151 W 26th St 12th floor, New York, NY 10001, USA",Indoor,40.7457851,-73.9932445
BrightFarms,Commercial Farm,Stern,"211 E 48th St, New York, NY 10017, USA",Indoor,40.7544075,-73.9708852
Brooklyn Grange Rooftop Farms,Commercial Farm,Stern,"37-18 Northern Blvd, Long Island City, NY 11101, USA",Rooftop,40.7519244,-73.9254192
Brooklyn Grange Rooftop Farms,Commercial Farm,Stern,"63 Flushing Ave Bldg 3, Brooklyn, NY 11205, USA",Rooftop,40.6984587,-73.9777556
Brooklyn Grange Rooftop Farms,Commercial Farm,Stern,"850 Third Avenue. Roof, Brooklyn, NY 11232, USA",Rooftop,40.659168,-74.0045225
Eagle Street Rooftop Farm ,Commercial Farm,Stern,"44 Eagle St, Brooklyn, NY 11222, USA",Outdoor,40.7345308,-73.9592954
East New York Farms ,Non-commercial Farm,Stern,"613 New Lots Ave, Brooklyn, NY 11207, USA",Outdoor,40.6649572,-73.8866682
Edgemere Farm & The Healing Garden at Far Rock Farm,Non-commercial Farm,Stern,"385 B 45 St, Far Rockaway, NY 11691, USA",Outdoor,40.5952183,-73.77691589999999
Farm.One,Commercial Farm,Stern,"77 Worth St, New York, NY 10013, USA",Indoor,40.7169064,-74.0055581
Farm.One,Commercial Farm,Stern,"225 Liberty Street Third Floor, New York, NY 10281, USA",Indoor,40.7128171,-74.0153663
Farm.One,Commercial Farm,Stern,"Fifth Avenue Hotel, 200 5th Ave, New York, NY 10010, USA",Indoor,40.7419978,-73.989942
Farm.One,Commercial Farm,Stern,"450 W 33rd St, New York, NY 10001, USA",Indoor,40.7526155,-73.9996513
Farmshelf,Commercial Farm,Stern,"Building 128, 19 Morris Ave, Brooklyn, NY 11205, USA",,40.6992184,-73.9739135
Farmshelf,Commercial Farm,Stern,"89 E 42nd St, New York, NY 10017, USA",,40.7527277,-73.97723529999999
Gotham Greens,Commercial Farm,Stern,"Greenpoint Wood Exchange, 810 Humboldt St, Brooklyn, NY 11222, USA","Indoor, Rooftop",40.7295788,-73.9457219
Gotham Greens,Commercial Farm,Stern,"214 3rd St, Brooklyn, NY 11215, USA","Indoor, Rooftop",40.67489279999999,-73.98878789999999
Gotham Greens,Commercial Farm,Stern,"184-60 Jamaica Ave, Queens, NY 11423, USA","Indoor, Rooftop",40.7090807,-73.7744455
Green Bronx Machine,Non-commercial Farm,Stern,"4422 Grace Ave, Bronx, NY 10466, USA",Indoor,40.89966,-73.8478669
Green Food Solutions,Commercial Farm,Stern,"4 Noll St, Brooklyn, NY 11206, USA",Rooftop,40.70002170000001,-73.9354384
Green Valley Farm,Non-commercial Farm,Stern,"93 New Lots Ave, Brooklyn, NY 11212, USA","Outdoor, Indoor",40.658173,-73.9018059
Groundwork Hudson Valley - Science Barge,Non-commercial Farm,Stern,"22 Main St 2nd Floor, Yonkers, NY 10701, USA",Outdoor,40.9341,-73.899303
Harlem Grown,Non-commercial Farm,Stern,"118 W 134th St, New York, NY 10030, USA",Outdoor,40.8138063,-73.94287059999999
Harlem Grown,Non-commercial Farm,Stern,"126 W 134th St, New York, NY 10030, USA",Outdoor,40.8139732,-73.9430939
Harlem Grown,Non-commercial Farm,Stern,"34 W 131st St, New York, NY 10037, USA",Outdoor,40.810685,-73.94124599999999
Harlem Grown,Non-commercial Farm,Stern,"77 W 127th St, New York, NY 10027, USA",Outdoor,40.80898699999999,-73.94376729999999
Harlem Grown,Non-commercial Farm,Stern,"128 W 127th St, New York, NY 10027, USA",,40.8095005,-73.9459822
Harlem Grown,Non-commercial Farm,Stern,"E 122nd St, New York, NY 10035, USA",This is also the Wagner Farm ,40.8023808,-73.9386885
Harlem Grown,Non-commercial Farm,Stern,"2230 5th Ave, New York, NY 10037, USA",Outdoor,40.8133503,-73.9377732
Harlem Grown,Non-commercial Farm,Stern,"250 W 127th St, New York, NY 10027, USA",Outdoor,40.8106338,-73.9487487
Harlem Grown,Non-commercial Farm,Stern,"425 W 123rd St, New York, NY 10027, USA",,40.810687,-73.95606099999999
Harlem Grown,Non-commercial Farm,Stern,"276 W 151st St, New York, NY 10039, USA",,40.8258675,-73.9378107
Hattie Carthan Community Garden and Market ,Non-commercial Farm,Stern,"49 Van Buren St, Brooklyn, NY 11221, USA",Outdoor,40.69031990000001,-73.9436398
Hell’s Kitchen Farm Project,Non-commercial Farm,Stern,"410 W 40th St, New York, NY 10018, USA",Rooftop,40.7572243,-73.9943301
Hellgate Farm,Commercial Farm,Stern,"14-33 30th Dr, Long Island City, NY 11102, USA",Outdoor,40.768882,-73.929924
Isabahlia - Green Valley Farm,Non-commercial Farm,Stern,"800 W Laurel St, Independence, KS 67301, USA",Outdoor,37.2256055,-95.7162018
KCC Urban Farm,Non-commercial Farm,Stern,"2001 Oriental Blvd, Brooklyn, NY 11235, USA",Outdoor,40.5784526,-73.93557679999999
Kelly Street Garden,Non-commercial Farm,Stern,"924 Kelly St, Bronx, NY 10459, USA",Outdoor,40.8201196,-73.8958159
La Familia Verde,Non-commercial Farm,Stern,"2144F Prospect Ave, Bronx, NY 10460, USA",Outdoor,40.8482466,-73.8849788
La Finca del Sur Community Garden,Non-commercial Farm,Stern,"175 E 138th St, Bronx, NY 10451, USA",Outdoor,40.8128584,-73.92958709999999
Local Roots NYC,Commercial Farm,Stern,"345 Calyer St, Brooklyn, NY 11222, USA",Indoor,40.7306524,-73.94585909999999
NY Sun Works Greenhouse Project,Non-commercial Farm,Stern,"157 Columbus Ave #432, New York, NY 10023, USA",Indoor,40.7742685,-73.9806818
NYU Urban Farm Lab,Non-commercial Farm,Stern,"W Houston St, New York, NY 10012, USA",Outdoor,40.7268776,-73.9996376
NYU Urban Food Lab,Non-commercial Farm,Stern,"6 MetroTech Center, Brooklyn, NY 11201, USA",Indoor,40.6942903,-73.9869992
Project EATS,Non-commercial Farm,Stern,"336 W 37th St #1040, New York, NY 10018, USA",Outdoor,40.7546283,-73.9940702
Project EATS,Non-commercial Farm,Stern,"111 Sunken Garden Loop, New York, NY 10035, USA",Outdoor,40.7862839,-73.9322335
Project EATS,Non-commercial Farm,Stern,"2094 Pitkin Ave, Brooklyn, NY 11207, USA",Outdoor,40.671746,-73.8952429
Project EATS,Non-commercial Farm,Stern,"251 Chester St, Brooklyn, NY 11212, USA",Outdoor,40.66566590000001,-73.9102322
Project EATS,Non-commercial Farm,Stern,"115 Delancey St, New York, NY 10002, USA",Rooftop,40.7182681,-73.98814709999999
Project EATS,Non-commercial Farm,Stern,"203-9 Hollis Ave, St. Albans, NY 11412, USA",Outdoor,40.7067479,-73.7543989
Project EATS,Non-commercial Farm,Stern,"4422 3rd Ave., Bronx, NY 10456, USA",Rooftop,40.85337639999999,-73.89070079999999
Queens County Farm,Non-commercial Farm,Stern,"73-50 Little Neck Pkwy, Queens, NY 11004, USA",Outdoor,40.7481753,-73.7212387
"Rabbit’s Garden [CLOSED according to Cornell, email 7/6/2021]",Non-commercial Farm,Stern,"7 Navy Pier Ct, Staten Island, NY 10304, USA",Outdoor,40.6296235,-74.0738894
Randall’s Island Park Alliance’s Urban,Non-commercial Farm,Stern,"20 Randalls Island Park, New York, NY 10035, USA",Outdoor,40.7932254,-73.92424059999999
Red Hook Farms (formerly Added Value),Non-commercial Farm,Stern,"560 Columbia St, Brooklyn, NY 11231, USA",Outdoor,40.6721268,-74.0096507
Red Hook Farms (Green City Force),Non-commercial Farm,Stern,"30 Wolcott St, Brooklyn, NY 11231, USA",Outdoor,40.6762785,-74.0109904
