name,type,source,address,grow,lat,lon,Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address_2,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Area
Battery Farm,Non-commercial Farm,Stern,"State St & Battery Pl, New York, NY 10004, USA",Outdoor,"40.7045129","-74.01427819999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowery Farming,Commercial Farm,Stern,"151 W 26th St 12th floor, New York, NY 10001, USA",Indoor,"40.7457851","-73.9932445",MN,"802","8","105","95","1003","02","3","10001",E001,"13","15","5200","1","05",1H,151 WEST 26 STREET,M1-6,,,,,,,,,,N,O6,"05","0",,ABNER PROPERTIES CO,"15208","179131","179131","0","100000","14850","0","0","0","64281","2","1",12.00000000000,"0","24",150.08000000000,107.50000000000,150.00000000000,99.00000000000,N,"3",Y,"5","2",2767500.00000000000,12857400.00000000000,0.00000000000,"1911","1989","0",,,11.78000000000,0.00000000000,10.00000000000,10.00000000000,"1",1008020008.00000000000,"0","0095","986113","211004",8d,,105S012,"10305",,0.00000000000,,"1",,,21v2,,40.74583360000,-73.99327660000,,0.00000000000,15611.02129610000
BrightFarms,Commercial Farm,Stern,"211 E 48th St, New York, NY 10017, USA",Indoor,"40.7544075","-73.9708852",MN,"1322","107","106","90","5000","02","4","10017",L002,"17","13","5000","1","06",3A,211 EAST 48 STREET,R8B,,,,,,,,,,N,O2,"05","0",,HENDALE NY LLC,"1666","4483","4483","0","4483","0","0","0","0","0","2","1",4.00000000000,"0","1",16.58000000000,100.42000000000,16.58000000000,50.00000000000,E,"0",N,"5","0",149850.00000000000,584100.00000000000,0.00000000000,"1865","0","0",,INDIVIDUAL LANDMARK,2.69000000000,4.00000000000,0.00000000000,4.00000000000,"1",1013220107.00000000000,"0","0090","992327","214150",8d,,104 051,"10506",,0.00000000000,,"1",,,21v2,t,40.75446510000,-73.97084690000,,0.00000000000,1729.21425498000
Brooklyn Grange Rooftop Farms,Commercial Farm,Stern,"37-18 Northern Blvd, Long Island City, NY 11101, USA",Rooftop,"40.7519244","-73.9254192",QN,"214","40","401","171","1003","30","26","11101",L128,"114","41","720","4","01",6C,37-02 NORTHERN BOULEVARD,M1-5,,,,,,,,,,N,O5,"05","0",,RXR SMP OWNER LLC,"38164","318000","318000","0","262550","10000","0","45450","0","0","2","1",6.00000000000,"0","2",490.50000000000,135.00000000000,229.67000000000,91.50000000000,N,"0",Y,"3","0",1889100.00000000000,15138900.00000000000,0.00000000000,"1919","2001","2009",,,8.33000000000,0.00000000000,5.00000000000,6.50000000000,"4",4002140040.00000000000,"0","0171","1004946","213237",9b,,401 065,"40202",,0.00000000000,,"1",,,21v2,,40.75193860000,-73.92530270000,,0.00000000000,51880.52297170000
Brooklyn Grange Rooftop Farms,Commercial Farm,Stern,"63 Flushing Ave Bldg 3, Brooklyn, NY 11205, USA",Rooftop,"40.6984587","-73.9777556",BK,"2023","1","302","543","1007","13","33","11251",E207,"88","36","9300","3","02",,652 KENT AVENUE,M3-1,,,,,,,,,,N,T2,"07","0",C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,"6429961","7064736","7064736","0","0","0","0","0","0","7064736","2","93",15.00000000000,"0","0",4152.00000000000,1992.00000000000,180.00000000000,360.00000000000,N,"0",Y,"5","0",32522850.00000000000,204659100.00000000000,204659100.00000000000,"1958","2004","0",,INDIVIDUAL LANDMARK,1.10000000000,0.00000000000,2.00000000000,0.00000000000,"3",3020230000.99999952316,"0","0543","991801","195129",12d,,303 003,"30705",,0.00000000000,,"1","1","1",21v2,t,40.70225750000,-73.97276680000,,0.00000000000,9997440.46598000079
Brooklyn Grange Rooftop Farms,Commercial Farm,Stern,"850 Third Avenue. Roof, Brooklyn, NY 11232, USA",Rooftop,"40.659168","-74.0045225",BK,"671","1","307","18","1024","15","38","11232",E228,"72","39","4400","3","07",2D,850 3 AVENUE,M3-1,,,,,,,,,,N,E1,"06","0",X,"SALMAR PROPERTIES, LLC","153191","1120000","1120000","0","2000","0","0","1118000","0","0","2","1",8.00000000000,"0","1",200.33000000000,700.00000000000,200.00000000000,700.00000000000,N,"0",Y,"1","0",2412900.00000000000,29394450.00000000000,29394450.00000000000,"1920","0","0",,,7.31000000000,0.00000000000,2.00000000000,0.00000000000,"3",3006710000.99999952316,"0","0018","983022","179468",16b,,306 012,"30302",,3006710000.99999952316,11/16/2018,"1","1","1",21v2,,40.65927480000,-74.00442600000,,0.00000000000,159232.52690699999
Eagle Street Rooftop Farm,Commercial Farm,Stern,"44 Eagle St, Brooklyn, NY 11222, USA",Outdoor,"40.7345308","-73.9592954",BK,"2503","1","301","563","1004","14","33","11222",L106,"94","30","100","3","01",1B,198 WEST STREET,M1-2/R6A,,,,,,MX-8,,,,N,J6,"05","0",,FREEMAN STREET PROPERTIES LLC,"57775","104200","104200","0","0","0","0","0","0","104200","2","1",3.00000000000,"0","3",200.00000000000,224.00000000000,200.00000000000,200.00000000000,N,"0",Y,"3","0",779850.00000000000,3260700.00000000000,0.00000000000,"1931","2002","2012",,,1.80000000000,3.00000000000,2.00000000000,3.00000000000,"3",3025030000.99999952316,"0","0563","995509","206843",12c,,304 038,"30901",E-138,0.00000000000,,"1","1","1",21v2,,40.73440570000,-73.95937400000,,0.00000000000,60279.78039380000
East New York Farms,Non-commercial Farm,Stern,"613 New Lots Ave, Brooklyn, NY 11207, USA",Outdoor,"40.6649572","-73.8866682",BK,"4089","25","305","1124","2004","19","42","11207",E225,"75","33","6420","3","05",4E,613 NEW LOTS AVENUE,R5,,,,C2-2,,,,,,N,P5,"08","0",X,"UNITED COMMUNITY CENTERS, INC.","8123","12259","12259","0","12259","0","0","0","0","0","2","1",2.00000000000,"0","1",35.00000000000,85.67000000000,35.00000000000,85.67000000000,N,"0",Y,"3","0",54900.00000000000,682200.00000000000,682200.00000000000,"1972","0","0",,,1.51000000000,1.25000000000,0.00000000000,2.00000000000,"3",3040890025.00000000000,"0","1124","1015674","181541",17d,,308 007,"31304",,0.00000000000,,"1",,,21v2,,40.66490900000,-73.88673040000,,0.00000000000,8917.54351466000
Edgemere Farm & The Healing Garden at Far Rock Farm,Non-commercial Farm,Stern,"385 B 45 St, Far Rockaway, NY 11691, USA",Outdoor,"40.5952183","-73.77691589999999",QN,"15837","41","414","972.04",,"27","31","11691",E265,"101","45","3800","4","14",2E,BEACH 45 STREET,PARK,,,,,,,,,,N,Q9,"09","0",C,NYC DEPARTMENT OF PARKS AND RECREATION,"11400","0","0","0","0","0","0","0","0","0","7","0",0.00000000000,"0","0",100.00000000000,120.00000000000,0.00000000000,0.00000000000,,"0",N,"3","5",222300.00000000000,222300.00000000000,222300.00000000000,"0","0","0",,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"4",4158370041.00000000000,"0","097204","1046241","156250",31a,,408 050,"46101",,0.00000000000,,"1","1","1",21v2,t,40.59532960000,-73.77678260000,,0.00000000000,11336.34268200000
Farm.One,Commercial Farm,Stern,"77 Worth St, New York, NY 10013, USA",Indoor,"40.7169064","-74.0055581",MN,"173","7502","101","33","1006","02","1","10013",L001,"1","15","7700","1","01",3A,65 WORTH STREET,C6-2A,,,,,,,,,,N,RM,"04","0",,THE WORTH BUILDING CONDO,"15683","99735","32901","66834","0","32901","0","0","0","0","2","1",7.00000000000,"30","32",175.16000000000,75.00000000000,175.00000000000,85.00000000000,,"0",Y,"3","5",2821496.00000000000,13550846.00000000000,28980.00000000000,"1920","2004","0",Tribeca East Historic District,,6.36000000000,6.02000000000,6.00000000000,6.50000000000,"1",1001737502.00000000000,"1434","0033","982673","200519",12a,,11S 033,"10105",,1001730010.00000000000,07/21/2005,"1",,,21v2,,40.71705490000,-74.00568880000,,0.00000000000,16326.87859670000
