name,address,type,grow,source,lat,lon,lotarea,borocode,block,lot
Fishbridge Park Garden," Pearl Street, New York, NY 10038, USA",Community Garden,Outdoor,GreenThumb,40.70906779999999,-74.00137790000001,4034.0,1,106,22.0
Lower East Side People Care,"25 Rutgers Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.7130061,-73.98982420000002,2135.0,1,271,63.0
Clinton Community Garden (LES)," Stanton Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.7200101,-73.9844587,2533.0,1,344,148.0
Siempre Verde Garden," Stanton Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.7199304,-73.9840186,1197.0,1,344,153.0
Siempre Verde Garden," Attorney Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.719743799999996,-73.98400790000001,1405.0,1,344,158.0
Dorothy Strelsin Memorial Garden (Suffolk St. - Committee of Poor People)," Suffolk Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.7209516,-73.9847976,2383.0,1,350,5.0
Children's Magical Garden," Stanton Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.720735,-73.9865762,1834.0,1,354,16.0
Children's Magical Garden," Norfolk Street, New York, NY 10002, USA",Community Garden,Outdoor,GreenThumb,40.7207075,-73.986367,1092.0,1,354,18.0
Parque De Tranquilidad,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7218374,-73.97968900000001,1803.0,1,373,10.0
Parque De Tranquilidad,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7218126,-73.9796313,1803.0,1,373,11.0
Parque De Tranquilidad,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.721787899999995,-73.9795736,1803.0,1,373,12.0
Orchard Alley,"346 East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7213651,-73.9785744,2701.0,1,373,26.0
Orchard Alley,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.721310100000004,-73.978441,5792.0,1,373,27.0
Orchard Alley,"356 East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7212689,-73.9783147,1674.0,1,373,30.0
"All People's Garden, Inc.","East 3 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.721455799999994,-73.9795232,2404.0,1,373,58.0
"All People's Garden, Inc.","East 3 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.721486,-73.9795953,1988.0,1,373,59.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.722518,-73.9794363,2645.0,1,374,10.0
El Jardin del Paraiso,"706 East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7224851,-73.9793569,2404.0,1,374,12.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7224521,-73.97927759999999,2404.0,1,374,13.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7224164,-73.97919820000001,2404.0,1,374,14.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7223835,-73.9791188,2404.0,1,374,15.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7223505,-73.9790395,2404.0,1,374,16.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.722317600000004,-73.9789601,2404.0,1,374,17.0
El Jardin del Paraiso,"East 5 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7222846,-73.9788844,2404.0,1,374,18.0
El Jardin del Paraiso,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7220843,-73.9791406,2060.0,1,374,59.0
El Jardin del Paraiso,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7221255,-73.9792416,4119.0,1,374,60.0
El Jardin del Paraiso,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7221831,-73.9793751,4119.0,1,374,62.0
El Jardin del Paraiso,"East 4 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7222271,-73.9794724,2060.0,1,374,64.0
Fireman's Memorial Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7242744,-73.9780035,4997.0,1,377,11.0
Fireman's Memorial Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.724225,-73.97788800000001,2340.0,1,377,14.0
Green Oasis Community Garden / Gilbert's Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7240849,-73.9775598,3859.0,1,377,18.0
Green Oasis Community Garden / Gilbert's Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7240355,-73.97743709999999,3860.0,1,377,20.0
Green Oasis Community Garden / Gilbert's Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7239778,-73.9773,4323.0,1,377,22.0
Green Oasis Community Garden / Gilbert's Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7239311,-73.9771882,2397.0,1,377,24.0
Green Oasis Community Garden / Gilbert's Garden,"East 8 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7238982,-73.9771125,2397.0,1,377,25.0
Sam & Sadie Koenig Garden,"237 East 7 Street, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.72409329999999,-73.9783426,1470.0,1,377,69.0
9th Street Community Garden & Park," Avenue C, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.7252926,-73.9776965,1329.0,1,379,1.0
9th Street Community Garden & Park," Avenue C, New York, NY 10009, USA",Community Garden,Outdoor,GreenThumb,40.725344799999995,-73.9776567,1233.0,1,379,2.0
