Name,Farm Address,Contact Info,Email,Website,Type,Main Crops,Indoor/Outdoor,Exclude
Agripublica,,info@agripublica.com,,,,,,
Battery Farm ,"State St &, Battery Pl, New York, NY 10004","gabriela.marin@thebattery.org
(212) 344-3491",gabriela.marin@thebattery.org,https://www.thebattery.org/destinations/urban-farm/,Community Garden,,Outdoor,
BAY VIEW HOUSES FARM (Green City Force),"Bay View Houses, Canarsie, Brooklyn
The closest street address is 2085 Rockaway Parkway.",managed by green city force,"Tonya Gayle <tonya@greencityforce.org>,
lisbeth <lisbeth@greencityforce.org>,
Annel Cabrera-Marus <annel@greencityforce.org>",https://greencityforce.org/service-corps/farms-at-nycha/,Institutional (NYCHA),,Outdoor,
Bowery Farming,"151 W 26th St 12th Floor, New York, NY 10001","pgauthier@boweryfarming.com
609-480-2690",pgauthier@boweryfarming.com,https://boweryfarming.com/vision/,Commercial,,Indoor,
ADD: Bowery Farming,"PRODUCTION FARM(S), Kearny, NJ",,,,,,,
BrightFarms,"211 E 48th St, New York, NY 10017","1-866-857-8745
https://www.brightfarms.com/contact/",,https://www.brightfarms.com/grow-local/,Commercial,,Indoor,
Brooklyn Grange Rooftop Farms,"37-18 Northern Blvd, Long Island City, NY 11101","info@brooklyngrangefarm.com
(347) 670-3660
maya@brooklyngrangefarm.com ","info@brooklyngrangefarm.com, maya@brooklyngrangefarm.com ",https://www.brooklyngrangefarm.com/about-brooklyn-grange-1,Commercial ,,Rooftop,
Brooklyn Grange Rooftop Farms,"63 Flushing Ave Building 3, Brooklyn, NY 11205",,,,Commercial ,,Rooftop,
Brooklyn Grange Rooftop Farms,"850 Third Avenue. Roof, Brooklyn, NY 11232",,,,Commercial ,,Rooftop,
"Decker Farm [part of Staten Island Family Farm according to Cornell, email 7/6/2021]","441 Clarke Ave, Staten Island, NY 10306","info@historicrichmondtown.org
(718)-351-1611",info@historicrichmondtown.org,https://www.historicrichmondtown.org/deckerfarm,,pumpkins?,Outdoor,
Eagle Street Rooftop Farm ,"44 Eagle St, Brooklyn, NY 11222","info@rooftopfarms.org
ms.annie.novak@gmail.com",ms.annie.novak@gmail.com,https://rooftopfarms.org/,Commercial,,Outdoor,
East New York Farms ,"613 New Lots Ave, Brooklyn, NY 11207","iharris@ucceny.org
(718) 649-7979",iharris@ucceny.org,https://ucceny.org/enyf/,Community Garden,,Outdoor,
Edgemere Farm & The Healing Garden at Far Rock Farm,"385 Beach 45th St. Far Rockaway, NY 11691","http://www.edgemerefarm.org/
(347) 754-7336",,http://www.edgemerefarm.org/,Community Garden,,Outdoor,
ADD: Edible Schoolyard,,https://www.edibleschoolyardnyc.org/contact-us/,,,,,,
"Empress Green [CLOSED according to Cornell, email 7/6/2021]",,info@empressgreen.com,info@empressgreen.com,https://www.empressgreen.com/,,,Outdoor,TRUE
Farm.One,"77 Worth St, New York, NY 10013","paige@farm.one
646-883-FARM
rob@farm.one 
katherine.lodvikov@gmail.com ","paige@farm.one, rob@farm.one, katherine.lodvikov@gmail.com ",https://farm.one/vertical-farms,Commercial,"microgreens, flowers",Indoor,
Farm.One,"225 Liberty Street Third Floor, New York, NY 10281",,"paige@farm.one, rob@farm.one, katherine.lodvikov@gmail.com ",,Commercial,,Indoor,
Farm.One,"200 5th Ave, New York, NY 10010",,"paige@farm.one, rob@farm.one, katherine.lodvikov@gmail.com ",,Commercial,,Indoor,
Farm.One,"450 W 33rd St, New York, NY 10001",,"paige@farm.one, rob@farm.one, katherine.lodvikov@gmail.com ",,Commercial,,Indoor,
Farmshelf,"Building 128, 19 Morris Ave, Brooklyn, NY 11205","FarmshelfPR@icrinc.com,
jessica@farmshelf.com","FarmshelfPR@icrinc.com, jessica@farmshelf.com",https://www.farmshelf.com/,Commercial,,,
Farmshelf,"89 E 42nd St, New York, NY 10017",,"FarmshelfPR@icrinc.com, jessica@farmshelf.com",,Commercial,,,
FOREST HOUSES FARM (Green City Force),"Forest Houses
730 East 165th Street, Morrisania, Bronx, NY",managed by green city force,,https://greencityforce.org/service-corps/farms-at-nycha/,Institutional (NYCHA),,Outdoor,
Gotham Greens,"810 Humboldt St Brooklyn, NY 11222","info@gothamgreens.com,
viraj@gothamgreens.com","info@gothamgreens.com, viraj@gothamgreens.com",https://www.gothamgreens.com/,Commercial,,"Indoor, Rooftop",
Gotham Greens,"214 3rd St, Brooklyn, NY 11215",,"info@gothamgreens.com, viraj@gothamgreens.com",,Commercial,,"Indoor, Rooftop",
Gotham Greens,"184-60 Jamaica Ave, Jamaica, NY 11423",,"info@gothamgreens.com, viraj@gothamgreens.com",,Commercial,,"Indoor, Rooftop",
Governors Island Teaching Garden,"Battery Maritime Building Ferry, 10 South St. Manhattan, NY 10004","ebrown@grownyc.org
646-740-1365",ebrown@grownyc.org,https://www.grownyc.org/gardens/manhattan/governors-island-teaching-garden,,,Outdoor,
Green Bronx Machine,"4422 Grace Avenue, Bronx, NY",info@greenbronxmachine.org,info@greenbronxmachine.org,https://greenbronxmachine.org/,Non-profit Org,,Indoor,
Green City Force (NOT A FARM LOCATION),"Howard Houses, Brownsville, Brooklyn
The closest street address is 60 Glenmore Ave.","Tonya Gayle <tonya@greencityforce.org>,
lisbeth <lisbeth@greencityforce.org>
info@greencityforce.com
(347) 454-0181",info@greencityforce.com,https://www.greencityforce.org/,Institutional? NYCHA,,,TRUE
Green Food Solutions,"4 Noll Street Brooklyn, NY, 11206","Electra Jarvis <electra@greenfoodsolutions.com>
mary@greenfoodsolutions.com 
https://www.greenfoodsolutions.com/lettuce-connect","electra@greenfoodsolutions.com, mary@greenfoodsolutions.com ",https://www.greenfoodsolutions.com/,Commercial,,Rooftop,
Green Valley Farm,"93 New Lots Ave, Brooklyn, NY 11212",,,,Community Garden,,"Outdoor, Indoor",
Groundwork Hudson Valley - Science Barge,"22 Main St., 2nd Floor Yonkers NY 10701",(914) 375-2151,,https://www.groundworkhv.org/programs/sustainability-education/science-barge/,Non-profit org,,Outdoor,
Harlem Grown,"118 West 134th Street Harlem, NY 10027","info@harlemgrown.org
(212) 870-0113",info@harlemgrown.org,http://www.harlemgrown.org,Non-profit org/community garden,,Outdoor,
Harlem Grown,"126 West 134 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,Outdoor,
Harlem Grown,"34 West 131 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,Outdoor,
Harlem Grown,"77 West 127 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,Outdoor,
Harlem Grown,"128 West 127 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,,
Harlem Grown,"East 122 Street between 1 & 2 Avenues, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,This is also the Wagner Farm ,
Harlem Grown,"2230 Fifth Avenue, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,Outdoor,
Harlem Grown,"250 West 127 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,Outdoor,
Harlem Grown,"425 West 123 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,,
Harlem Grown,"276 West 151 Street, New York, NY",,info@harlemgrown.org,,Non-profit org/community garden,,,
